date,ticker,intervention_score,confounder_proxy,macro_shock_signal
2023-04-13,AAPL,0.0,0.0,0.0
2023-04-14,AAPL,0.0,0.0,0.0
2023-04-17,AAPL,0.0,0.0,0.0
2023-04-18,AAPL,0.0,0.0,0.0
2023-04-19,AAPL,0.0,0.0,0.0
2023-04-20,AAPL,0.0,0.0,0.0
2023-04-21,AAPL,0.0,0.0,0.0
2023-04-24,AAPL,0.0,0.0,0.0
2023-04-25,AAPL,0.0,0.0,0.0
2023-04-26,AAPL,0.0,0.0,0.0
2023-04-27,AAPL,0.0,0.0,0.0
2023-04-28,AAPL,0.0,0.0,0.0
2023-05-01,AAPL,0.0,0.0,0.0
2023-05-02,AAPL,0.0,0.0,0.0
2023-05-03,AAPL,0.0,0.0,0.0
2023-05-04,AAPL,0.0,0.0,0.0
2023-05-05,AAPL,0.0,0.0,0.0
2023-05-08,AAPL,0.0,0.0,0.0
2023-05-09,AAPL,0.0,0.0,0.0
2023-05-10,AAPL,0.0,0.0,0.0
2023-05-11,AAPL,0.0,0.0,0.0
2023-05-12,AAPL,0.0,0.0,0.0
2023-05-15,AAPL,0.0,0.0,0.0
2023-05-16,AAPL,0.0,0.0,0.0
2023-05-17,AAPL,0.0,0.0,0.0
2023-05-18,AAPL,0.0,0.0,0.0
2023-05-19,AAPL,0.0,0.0,0.0
2023-05-22,AAPL,0.0,0.0,0.0
2023-05-23,AAPL,0.0,0.0,0.0
2023-05-24,AAPL,0.0,0.0,0.0
2023-05-25,AAPL,0.0,0.0,0.0
2023-05-26,AAPL,0.0,0.0,0.0
2023-05-30,AAPL,0.0,0.0,0.0
2023-05-31,AAPL,0.0,0.0,0.0
2023-06-01,AAPL,0.0,0.0,0.0
2023-06-02,AAPL,0.0,0.0,0.0
2023-06-05,AAPL,0.0,0.0,0.0
2023-06-06,AAPL,0.0,0.0,0.0
2023-06-07,AAPL,0.0,0.0,0.0
2023-06-08,AAPL,0.0,0.0,0.0
2023-06-09,AAPL,0.0,0.0,0.0
2023-06-12,AAPL,0.0,0.0,0.0
2023-06-13,AAPL,0.0,0.0,0.0
2023-06-14,AAPL,0.0,0.0,0.0
2023-06-15,AAPL,0.0,0.0,0.0
2023-06-16,AAPL,0.0,0.0,0.0
2023-06-20,AAPL,0.0,0.0,0.0
2023-06-21,AAPL,0.0,0.0,0.0
2023-06-22,AAPL,0.0,0.0,0.0
2023-06-23,AAPL,0.0,0.0,0.0
2023-06-26,AAPL,0.0,0.0,0.0
2023-06-27,AAPL,0.0,0.0,0.0
2023-06-28,AAPL,0.0,0.0,0.0
2023-06-29,AAPL,0.0,0.0,0.0
2023-06-30,AAPL,0.0,0.0,0.0
2023-07-03,AAPL,0.0,0.0,0.0
2023-07-05,AAPL,0.0,0.0,0.0
2023-07-06,AAPL,0.0,0.0,0.0
